id,name,type,description,human_readable_id,graph_embedding,text_unit_ids,description_embedding
c1c991eb4a97411eb3d036a31cac6f2f,IO_SAP,TECHNICAL_TERM,"An IO control path interface that handles hardware I/O control, such as control pilot duty cycle and the control pilot wire",0,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.01322075 -0.02212171 -0.00048924 ...  0.02517583  0.00632147
 -0.00020281]"
5d50bcf3d46d4778ae9c02df373727a7,INTER_SYSTEM_PROTOCOL,TECHNICAL_TERM,"A protocol that enables various broadband power line systems to share communication resources in time, frequency, or both",1,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.00860744 -0.00272107  0.00923576 ... -0.02832211 -0.00936413
 -0.02624119]"
91741f0c9864419ba6de55093a830cf0,LOGICAL_NETWORK,TECHNICAL_TERM,"LOGICAL_NETWORK is a network designed to enhance communication by utilizing low-layer communication technology. It comprises a set of low-layer communication stations that share the same network key, enabling encrypted data exchange and ensuring visibility among its members. This structure facilitates secure and efficient communication within the network.",2,,['709bb69a81ecc1f51a9d4420b7de6772' '96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.01708586  0.02329283  0.02354645 ... -0.02992695 -0.01757975
 -0.01336835]"
9b605578a3884c1dbe05bcf63f7044f5,LOW-LAYER_COMMUNICATION,TECHNICAL_TERM,Functions managed by the OSI layer 1 and layer 2 of the modem,3,,['709bb69a81ecc1f51a9d4420b7de6772'],"[ 0.00590793  0.01640242  0.01561692 ...  0.00610431 -0.02196753
 -0.01497786]"
bc91ac78fd434239b5c69ab16dac33f2,LOW-LAYER_COMMUNICATION_MODULE,TECHNICAL_TERM,"The LOW-LAYER_COMMUNICATION_MODULE is a functional assembly situated behind each socket outlet or connector. It includes the communication node and connection coordination functionality, making it responsible for low-layer communication and managing the logical network. This module plays a crucial role in ensuring seamless communication and coordination within the network infrastructure.",4,,['709bb69a81ecc1f51a9d4420b7de6772' '96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.00744005  0.02083215  0.00557663 ... -0.00479849 -0.01116008
 -0.03833334]"
67be291547ee4f52be4f562b41b7fb73,MAC_ADDRESS,TECHNICAL_TERM,A unique identifier assigned to network interfaces for communication on the data link layer,5,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.01727047  0.01000345 -0.00657323 ... -0.02307892 -0.01692196
 -0.00675071]"
29fdf7c0787b491cab5e2e457bf720af,MANAGEMENT_MESSAGE_ENTRY,TECHNICAL_TERM,Messages exchanged between PLC nodes or between a PLC node and higher layers for control purposes,6,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.01812578  0.00158702 -0.00613872 ... -0.01758552  0.0059834
 -0.04762408]"
f717ac89952f46ce94f36e6924f0c6b2,MATCHING,TECHNICAL_TERM,"The process to determine the low-layer communication modules of EV and EVSE, where EV is physically connected directly",7,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.00794236  0.0034564  -0.00219253 ... -0.01281314 -0.02078286
 -0.0190863 ]"
379326968ad34e9085fecf86cb71e5eb,NOMINAL_DUTY_CYCLE,TECHNICAL_TERM,"A control pilot duty cycle ranging from 10% to 96%, generated by the EVSE",8,,['709bb69a81ecc1f51a9d4420b7de6772'],"[ 0.00031019 -0.04030193 -0.00102281 ...  0.01162243  0.00211687
 -0.0196896 ]"
4063bbdbcb7a4269a4c344ed19611361,PILOT_FUNCTION_CONTROLLER,TECHNICAL_TERM,A system that manages the control pilot line on the EVSE side,9,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.00377637 -0.0258536  -0.00809222 ...  0.01586628 -0.00562651
 -0.01252565]"
7a7355d1775547dcbd7496a1a0d9c6f1,PLUG_AND_CHARGE,TECHNICAL_TERM,"An identification mode where the customer plugs their vehicle into the EVSE, and all aspects of charging are automatically managed",10,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.00263523 -0.01221091  0.02299232 ...  0.00054024 -0.01640591
 -0.00701393]"
1eaa11e0c9284b1187dbf78404874f0e,QPSK_MODULATION,TECHNICAL_TERM,A phase modulation technique that transmits two bits in four modulation states,11,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.00314649  0.02471019  0.01314007 ... -0.00236812  0.00451525
 -0.01770479]"
a0c075a621684d34a4cd5077106cd858,ROBO_MODE,TECHNICAL_TERM,A communication mode using QPSK for carrier modulation within OFDM to achieve higher transmission robustness,12,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.01678265  0.00707823 -0.02396136 ...  0.00065092  0.00349408
 -0.01773889]"
031cf63c7f164401a3a463773ae59c15,SHARED_BANDWIDTH,TECHNICAL_TERM,The data rate limitation for each system when different systems use the same physical media to transmit data,13,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.0086291  -0.00335395  0.02504717 ... -0.014041   -0.01179418
 -0.01361118]"
c4ad691ed0de4ef6a7ac5dfb00ec5eef,SIGNAL_COUPLING,TECHNICAL_TERM,"SIGNAL_COUPLING refers to a method of coupling the signal on the communication media. This process encompasses the coupling of signals and includes additional requirements regarding the physical layer, MAC layer, and network layer interface. This ensures that the signals are effectively transmitted and received across different layers of the communication system, adhering to the necessary compliance standards and fostering seamless integration within the network infrastructure.",14,,['709bb69a81ecc1f51a9d4420b7de6772' '96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.04290026 -0.00352956  0.02047875 ... -0.00321852 -0.01458396
 -0.0142646 ]"
599f316831d846649e279bf6cb940a3f,SIGNAL_LEVEL_ATTENUATION_CHARACTERIZATION,TECHNICAL_TERM,A protocol to measure the signal strength between HomePlug Green PHY stations,15,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.00866879 -0.01436503  0.01132335 ... -0.00411664 -0.01015507
 -0.00940847]"
c0713b3fd1be485c92440a5c1ae28a47,TONE_MASK,TECHNICAL_TERM,Defines the set of tones or carriers that can be used in a given regulatory jurisdiction or application,16,,['709bb69a81ecc1f51a9d4420b7de6772'],"[ 0.0046478  -0.00718044  0.00141504 ...  0.01100722 -0.00048226
 -0.01792327]"
b28c4aedf6aa409a82ddaa337dcde660,VALID_DUTY_CYCLE,TECHNICAL_TERM,"A duty cycle ranging from 5% or 10% to 96%, generated by the EVSE",17,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.00240595 -0.03118665 -0.00460082 ... -0.00098035  0.00124585
 -0.01513159]"
584b20234e874d9d8ca74964be136ffd,ISO_15118-3:2015(E),STANDARD,The ISO standard that specifies the communication protocol for electric vehicle charging,18,,['709bb69a81ecc1f51a9d4420b7de6772'],"[ 0.00054208 -0.01196792  0.00263598 ... -0.01873183  0.00904876
 -0.0521695 ]"
7f2e82a3d79741ca889ac6f95a87d492,NATIONAL_TSING_HUA_UNIVERSITY,ORGANIZATION,An educational institution licensed to use the document,19,,"['1665ff673abe57f406cf7a5a48bacc00' '1cfc5b3783ecea8b1b50c0cf0b9da1d4'
 '3cbb86ac163ea9e314b953dbf0af5de4' '709bb69a81ecc1f51a9d4420b7de6772'
 '801f1b08acd1dd21d9f7c71417653091' '813b4f67ab4a26af5abc0fd23a1be814'
 '957d79ac926c7c8c427f6425d51c58b8' '96fddbf4556ae84fd85ddd36d66bb9f0'
 '9d51da4c009f3383f6178ae36d391c61' 'a882a8d895c3ca8c3bfe5dc8610f46bb'
 'b5864dde590dd2593deadbe32d3b3c2b']","[-0.0044798   0.00391261  0.0091498  ... -0.02139709  0.03333871
 -0.01008041]"
3a4b3626b4b24054a56537efb774530f,YI-SHIN_CHEN,PERSON,"An individual associated with National Tsing Hua University, licensed to use the document",20,,"['1665ff673abe57f406cf7a5a48bacc00' '1cfc5b3783ecea8b1b50c0cf0b9da1d4'
 '3cbb86ac163ea9e314b953dbf0af5de4' '709bb69a81ecc1f51a9d4420b7de6772'
 '801f1b08acd1dd21d9f7c71417653091' '813b4f67ab4a26af5abc0fd23a1be814'
 '957d79ac926c7c8c427f6425d51c58b8' '96fddbf4556ae84fd85ddd36d66bb9f0'
 '9d51da4c009f3383f6178ae36d391c61' 'a882a8d895c3ca8c3bfe5dc8610f46bb'
 'b5864dde590dd2593deadbe32d3b3c2b']","[-0.0114798  -0.00643956  0.01978058 ... -0.02975238  0.00974764
 -0.02430457]"
86bcb14eb24f465ba54cbb214566ec1a,ISO_STORE_ORDER,DOCUMENT,"An order from the ISO store, associated with the document",21,,"['1665ff673abe57f406cf7a5a48bacc00' '1cfc5b3783ecea8b1b50c0cf0b9da1d4'
 '3cbb86ac163ea9e314b953dbf0af5de4' '709bb69a81ecc1f51a9d4420b7de6772'
 '801f1b08acd1dd21d9f7c71417653091' '957d79ac926c7c8c427f6425d51c58b8'
 '96fddbf4556ae84fd85ddd36d66bb9f0' '9d51da4c009f3383f6178ae36d391c61'
 'a882a8d895c3ca8c3bfe5dc8610f46bb' 'b5864dde590dd2593deadbe32d3b3c2b']","[-0.01180218 -0.00655715 -0.01306596 ...  0.00736169  0.0112359
 -0.03966748]"
4c5e70249fa94950aecf9898b0848f26,CONTROL_PILOT_DUTY_CYCLE,TECHNICAL_TERM,"The ""CONTROL_PILOT_DUTY_CYCLE"" is a duty cycle used in the control pilot wire for communication between Electric Vehicles (EV) and Electric Vehicle Supply Equipment (EVSE). It is a parameter that should not impact the validation process.",22,,['709bb69a81ecc1f51a9d4420b7de6772' '96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.00723868 -0.03407726  0.00704693 ...  0.02485942 -0.02020256
 -0.01616205]"
04d6f77d458c4449bceed5680c7ef498,CONTROL_PILOT_WIRE,TECHNICAL_TERM,A wire used for communication and control between the EV and EVSE,23,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.01053195 -0.02319291  0.01170291 ...  0.01469017 -0.01603411
 -0.01647322]"
2e500fe9710a4512b26eb52d6a4a16ce,IEEE,ORGANIZATION,"Institute of Electrical and Electronics Engineers, referenced for more information on inter system protocol",24,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.01625546 -0.01177912 -0.00194065 ... -0.03691963 -0.00623441
 -0.033701  ]"
57d04c0982a542a3b61c6a83780452b6,OSI_LAYER_1,TECHNICAL_TERM,"The physical layer in the OSI model, responsible for the transmission and reception of unstructured raw data between a device and a physical transmission medium",25,,['709bb69a81ecc1f51a9d4420b7de6772'],"[ 0.01771553  0.00682937  0.00495244 ...  0.01732039 -0.02074495
 -0.01355337]"
ba98984a8a61424c9a5e0b17c5f6367b,OSI_LAYER_2,TECHNICAL_TERM,"The data link layer in the OSI model, responsible for node-to-node data transfer and error detection and correction",26,,['709bb69a81ecc1f51a9d4420b7de6772'],"[ 0.00611531  0.01215738 -0.00123005 ... -0.00148888 -0.03070637
 -0.01553961]"
49bd01dd713f4e2d9a15bb9cad882476,HOMEPLUG_GREEN_PHY,TECHNICAL_TERM,A power line communication specification for networking over existing home electrical wiring,27,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.01213699  0.00165435  0.01052782 ... -0.0203056  -0.00955959
 -0.01963738]"
26301cbc0319439aab7a5da98db698cc,OFDM,TECHNICAL_TERM,"Orthogonal Frequency Division Multiplexing, a method of encoding digital data on multiple carrier frequencies",28,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.01497071  0.00519412 -0.03107878 ...  0.01478556 -0.00141094
 -0.0230512 ]"
f0b318f47362465b9088dc297c9d1a7b,MINI_ROBO,TECHNICAL_TERM,A performance level of ROBO mode for communication robustness,29,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.02433633 -0.00672262 -0.00367341 ... -0.016229   -0.00780599
 -0.02135169]"
f11b508714ec47ad850f65f5acc310f9,STANDARD_ROBO,TECHNICAL_TERM,A performance level of ROBO mode for communication robustness,30,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.0079093  -0.00313601 -0.00493701 ... -0.0155595   0.002697
 -0.02871528]"
53b118a318574fc59ab724b2b5941bd0,HIGH_SPEED_ROBO,TECHNICAL_TERM,A performance level of ROBO mode for communication robustness,31,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.02323653  0.00555394 -0.01456005 ... -0.01654486 -0.00216912
 -0.01678588]"
0c9c86d2443b46299d78e08447ea859d,ARIB,ORGANIZATION,"Association of Radio Industries and Businesses, mentioned in the context of symbols and abbreviated terms",32,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.03281641 -0.02285428  0.00131685 ... -0.02509177 -0.03175094
 -0.03414824]"
df4c5f1c187648c0b26e6dda696c5438,FCC,ORGANIZATION,"Federal Communications Commission, mentioned in the context of symbols and abbreviated terms",33,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.00752468  0.00670497  0.01299368 ...  0.0057892  -0.02206812
 -0.04034508]"
bdcb552995454efeb05ed8d4f5b24f30,ITU,ORGANIZATION,"International Telecommunication Union, mentioned in the context of symbols and abbreviated terms",34,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.01559383 -0.01243732  0.01828826 ... -0.01746822 -0.01267812
 -0.04370959]"
70b41d832c3a490c81cfedbfb626402e,ERDF,ORGANIZATION,"Electricité et Réseau de France, mentioned in the context of symbols and abbreviated terms",35,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.01330346 -0.00143501 -0.00694466 ... -0.00645425 -0.02066941
 -0.02709404]"
c3b02a4717ee429a86bdbdfbcf69e6c3,ISO_15118-1,STANDARD,An ISO standard referenced in the context of matching and plug and charge,36,,['709bb69a81ecc1f51a9d4420b7de6772'],"[ 0.00816559 -0.01453449  0.01639823 ... -0.01140367 -0.00012392
 -0.04025141]"
301090c8fcd8420ab14cd4f7c4782b17,IO_CONTROL_PATH,,,37,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.01657569 -0.00771576 -0.00730504 ...  0.03197788  0.00461332
 -0.01004076]"
b9560575b30b4979afa3d1c1ee825f2d,SYMBOLS_AND_ABBREVIATED_TERMS,,,38,,['709bb69a81ecc1f51a9d4420b7de6772'],"[-0.03503467 -0.00168959  0.012415   ... -0.0007471  -0.02466474
 -0.02482999]"
4c7e885d47e44f62a8deb7f6ac32a3d7,EV,DEVICE,The Electric Vehicle (EV) involved in the communication process,39,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.00580182  0.00471746  0.00830797 ...  0.01035876 -0.00868144
 -0.04824915]"
49f706a94650417593590943fce765ef,EVSE,DEVICE,The Electric Vehicle Supply Equipment (EVSE) involved in the communication process,40,,['1cfc5b3783ecea8b1b50c0cf0b9da1d4' '96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.0016533   0.00531694  0.01519494 ...  0.0004479   0.00066663
 -0.02458723]"
3694530c9d4c4bd4841fa2474b914319,C_EV_VALD_NB_TOGGLES,PARAMETER,A parameter representing the number of BCB-Toggles the EV must perform during the validation process,41,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.01679084 -0.01459684  0.02176093 ...  0.0025093  -0.00748125
 -0.03605926]"
4d7b56688c7547c3baecec13b0699ef7,TP_EV_VALD_TOGGLE,PARAMETER,A parameter that the EV must adjust in coherence with the number of BCB-Toggles,42,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.02439563 -0.03105169  0.03072483 ...  0.01576356 -0.00741749
 -0.02372705]"
4fa0c328a7e34502a5e56a3edf1915b3,D-LINK_READY.INDICATION,MESSAGE,"A message indicating the status of the communication link, either 'link established' or 'no link'",43,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.01267626  0.0132223  -0.01602158 ... -0.02044514 -0.00265068
 -0.01871719]"
043512f3fbc64b0aaae89114018e1b87,D-LINK_TERMINATE.REQUEST,MESSAGE,A message requesting lower layers to terminate the data link,44,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.00529029  0.00091536 -0.01147854 ... -0.01740228 -0.01634422
 -0.00422875]"
8200e368060a4282ac184cdcbc08eb6f,D-LINK_ERROR.REQUEST,MESSAGE,A message requesting lower layers to terminate the data link and restart the matching process,45,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.02403147  0.00841101 -0.00954191 ... -0.00338208 -0.01497019
 -0.00327782]"
ba077aa8f6b54c899099a2e9289791cb,D-LINK_PAUSE.REQUEST,MESSAGE,A message requesting lower layers to enter a power-saving mode while keeping the state to 'Matched',46,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.01379942 -0.00905519 -0.00318809 ...  0.00028478  0.00275664
 -0.00413766]"
bea58e57981c4d14ac9c048ebe2bdd20,HLE,COMPONENT,A higher layer entity involved in the binding process,47,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.00386419  0.00385394 -0.00926585 ... -0.01492377 -0.01611275
 -0.01278497]"
d1cb109d239d4a8f8cdde9cc27996c4a,TP_MATCH_LEAVE,PARAMETER,A parameter defining the time within which the communication node must leave the logical network,48,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.00191266  0.01429655  0.01053822 ... -0.01238389  0.02390449
 -0.02240115]"
7054ffb41cf246c29e529cd030f8f588,STATE_A,STATE,A state detected on the EVSE side that triggers the communication node to leave the logical network,49,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[ 0.00050658  0.00122546  0.00250442 ...  0.00777388  0.01484355
 -0.02861009]"
2d8bd86c80824436ae4251bd0cb79546,STATE_E,STATE,A state detected on the EV side that triggers the communication node to leave the logical network,50,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.00249851  0.00441143  0.00262627 ...  0.00841118  0.0155589
 -0.03188439]"
c56673d1bcb14846b9a61af7fc81145c,IEC-21,STANDARD,A standard defining EMC requirements,51,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[ 0.00603678  0.0025879   0.02609257 ... -0.00834042  0.01045675
 -0.02881356]"
e562b674bd0e4276b3c7fb4620baddb9,IEC-22,STANDARD,A standard defining technology-related EMC requirements,52,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[ 0.00772762 -0.00327025  0.02101028 ... -0.00680395  0.00644944
 -0.01931905]"
e60a9744cb914c899a70a83cb50b7cc4,DATA_SAP,INTERFACE,"An interface between the communication technology and layer 3, such as IPv6",53,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.0018063   0.01391866  0.01310109 ... -0.01693636 -0.01518157
 -0.0009314 ]"
af2fd73dcc7b450da541a07877298f6f,DATA_LINK_CONTROL_SAP,INTERFACE,"An interface providing link status information, error information, and control functionality between the connection coordination and higher layers",54,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.01241632  0.01446282  0.02207194 ...  0.00433679 -0.01196307
 -0.00730695]"
82547d6645bf47129f2e9c196d9f1f29,ISO 15118-3:2015(E),STANDARD,The ISO standard that specifies the communication protocol for electric vehicle charging,55,,['07939237b6923afcd1c1594479669640' '96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.0017416  -0.00742566  0.00307731 ... -0.02016829  0.0096637
 -0.04840907]"
854aebf83ff14be6b3735ede957df274,EMC_REQUIREMENTS,,Requirements related to Electromagnetic Compatibility (EMC) as defined in the document,56,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.02043528 -0.003685    0.0058973  ... -0.01133194  0.00446044
 -0.01631694]"
0bb45b3fc9574eb191806ce246dfb492,PHYSICAL_LAYER,,The physical layer involved in signal coupling and communication,57,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.01576338  0.0211349   0.01252487 ... -0.01227775 -0.02183723
 -0.02549194]"
3b4abe1efb3b459a82e6252c3f8065c0,MAC_LAYER,,The Medium Access Control (MAC) layer involved in signal coupling and communication,58,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.01833829 -0.00432969 -0.00813655 ... -0.00720199 -0.02154062
 -0.02361888]"
056fb10f3fd64ebf8720002777cffdab,NETWORK_LAYER,,The network layer interface involved in signal coupling and communication,59,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.0279069   0.01238217  0.01095863 ... -0.02785318 -0.01228817
 -0.02782632]"
1f46b5f27fc44bb888c1bba548624058,LAYER_3,,,60,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.02137133  0.00205016 -0.00610964 ...  0.00187798 -0.01871589
 -0.01405111]"
b0bb2f7cdbcb4e73945fc79180c1608a,COMMUNICATION_NODE,,,61,,['96fddbf4556ae84fd85ddd36d66bb9f0'],"[-0.01539917  0.00443029  0.00861128 ... -0.00874661 -0.01299171
 -0.0216671 ]"
60ac0dca25df4caf868876e1c2daec60,NATIONAL TSING HUA UNIVERSITY,ORGANIZATION,An educational institution licensed to use the document,62,,['07939237b6923afcd1c1594479669640'],"[-0.0058859  -0.00513259  0.01014464 ... -0.02157495  0.03238251
 -0.01916434]"
4c5c053b479e49c787e0c00b3495bcac,YI-SHIN CHEN,PERSON,"An individual associated with National Tsing Hua University, licensed to use the document",63,,['07939237b6923afcd1c1594479669640'],"[-0.00930022 -0.00230979  0.01737941 ... -0.03003748  0.00595594
 -0.02971187]"
3f2b9342b78c4fe0be70d716a64c79ca,ISO STORE ORDER,DOCUMENT,"An order from the ISO store, associated with the document",64,,['07939237b6923afcd1c1594479669640'],"[-0.00335344 -0.00551028 -0.01297742 ...  0.00645896  0.01306997
 -0.03630768]"
6f0fe2b3a12f4018b234b724651a35cc,ANNEX A,DOCUMENT_SECTION,A section in the ISO 15118-3:2015(E) standard that describes requirements for HomePlug Green PHY Technology on control pilot line,65,,['07939237b6923afcd1c1594479669640'],"[ 0.00714477 -0.02069383  0.00061458 ...  0.00703804  0.00351568
 -0.01450302]"
5033e75297634031ab33e224ab3cdc73,HOMEPLUG GREEN PHY,TECHNOLOGY,"A technology used for communication over power lines, specifically mentioned in the context of control pilot lines",66,,['07939237b6923afcd1c1594479669640'],"[-0.00966378 -0.01523594  0.01342566 ... -0.00317471 -0.00740935
 -0.00215181]"
f74938cd916d47a9aa981f8aeab35e21,IEEE 1901,STANDARD,"A standard for Broadband over Power Line Networks, referenced in the document",67,,['07939237b6923afcd1c1594479669640'],"[-0.01000745 -0.00508892  0.00184977 ... -0.03785398 -0.00319983
 -0.02469422]"
1d408d61ccb54e988286f06041b2d781,AMPLITUDE MAP,TECHNICAL_TERM,Specifies a transmit power-reduction factor for each subcarrier related to the Tone Mask,68,,['07939237b6923afcd1c1594479669640'],"[-0.00894556 -0.01671884  0.01733289 ... -0.0064789  -0.01382305
 -0.02874859]"
171b98710b7345b292cb8af46e4c4cf9,CENTRAL COORDINATOR,ROLE,Manager of a HomePlug Green PHY network,69,,['07939237b6923afcd1c1594479669640'],"[-0.00519785 -0.014001    0.00018403 ... -0.00422876 -0.00913521
 -0.00622455]"
7df3c8c796b14bebb543fc93b30e282e,CHANNEL ACCESS PRIORITY,TECHNICAL_TERM,Method to prioritize the channel access,70,,['07939237b6923afcd1c1594479669640'],"[-0.00011071  0.0022599  -0.01007167 ... -0.0128476   0.00968019
  0.00302862]"
b6dc9a93c4c54365ba410ac9c44419ac,INTER SYSTEM PROTOCOL,TECHNICAL_TERM,"Enables various Broadband Power Line systems to share power line communication resources in time, frequency, or both",71,,['07939237b6923afcd1c1594479669640'],"[-0.01296138 -0.00981314 -0.00649409 ... -0.02004158 -0.00763616
 -0.02206449]"
ae5e642e497644e08cf85b436f625d4b,MANAGEMENT MESSAGE ENTRY,TECHNICAL_TERM,Messages exchanged between PLC nodes or a PLC node and higher layers for control purposes,72,,['07939237b6923afcd1c1594479669640'],"[-0.01595622 -0.00236987 -0.01269091 ... -0.01619859  0.00436944
 -0.03996459]"
c52e8d03635d4389b9414d3c88bcbaab,QPSK MODULATION,TECHNICAL_TERM,Phase modulation technique that transmits two bits in four modulation states,73,,['07939237b6923afcd1c1594479669640'],"[-0.00583284  0.02451418  0.0147917  ... -0.00079044  0.00740885
 -0.0154416 ]"
dca1c2a443564a69a8a87a19956b0b5d,ROBO MODE,TECHNICAL_TERM,Communication mode which uses QPSK only for carrier modulation within the orthogonal frequency division multiplexing (OFDM) to achieve higher robustness in transmission,74,,['07939237b6923afcd1c1594479669640'],"[-0.01536534  0.00819615 -0.02143607 ... -0.00291675 -0.00219203
 -0.01517034]"
94048d18099f466f8148da501ee2275a,SIGNAL LEVEL ATTENUATION CHARACTERIZATION,TECHNICAL_TERM,Protocol to measure the signal strength of a signal between HomePlug Green PHY stations,75,,['07939237b6923afcd1c1594479669640'],"[-0.00946266 -0.01486398  0.01395916 ... -0.00935906 -0.01219095
 -0.00458283]"
